Область,Рік,Середній бал з фізики
м.Київ,2019,147.47417840375587
Волинська область,2019,140.1204081632653
Львівська область,2019,139.72072853425846
Харківська область,2019,139.68865030674846
Івано-Франківська область,2019,139.31354359925788
Черкаська область,2019,138.5358565737052
Херсонська область,2019,136.29140461215934
Чернігівська область,2019,136.0648918469218
Київська область,2019,135.9415501905972
Тернопільська область,2019,135.67705382436262
Сумська область,2019,135.59454545454545
Рівненська область,2019,135.4684129429892
Хмельницька область,2019,135.39808917197453
Дніпропетровська область,2019,135.30011454753722
Вінницька область,2019,134.8537142857143
Полтавська область,2019,134.042071197411
Запорізька область,2019,133.98872180451127
Кіровоградська область,2019,133.74174174174175
Чернівецька область,2019,132.87053571428572
Миколаївська область,2019,132.60263653483992
Донецька область,2019,132.07003444316877
Житомирська область,2019,130.96517412935324
Луганська область,2019,130.22222222222223
Закарпатська область,2019,130.17352941176472
Одеська область,2019,129.03715415019764
м.Київ,2020,149.32454361054766
Львівська область,2020,141.54911433172302
Волинська область,2020,140.91489361702128
Херсонська область,2020,140.64510166358596
Рівненська область,2020,140.35075653370015
Чернігівська область,2020,139.89112227805694
Івано-Франківська область,2020,139.62328767123287
Харківська область,2020,139.2569198012775
Сумська область,2020,139.2422839506173
Хмельницька область,2020,139.12785388127853
Полтавська область,2020,138.43362831858408
Чернівецька область,2020,138.40530303030303
Кіровоградська область,2020,138.3296089385475
Черкаська область,2020,137.92879256965944
Дніпропетровська область,2020,137.2644084934277
Тернопільська область,2020,137.11387163561076
Вінницька область,2020,136.82390510948906
Київська область,2020,135.86681465038845
Луганська область,2020,134.91961414790995
Донецька область,2020,134.58742632612967
Житомирська область,2020,134.2558869701727
Миколаївська область,2020,134.20261437908496
Закарпатська область,2020,133.6529411764706
Запорізька область,2020,133.5082508250825
Одеська область,2020,131.33085501858736
